Repetition,Model,tauD_s,tauD_us,N,G0,R2,RMSE,Chi2
1,Standard 3D,4.528485145982551e-05,45.28485145982551,1.1438994231915736,0.8742027312243219,0.9962594820431183,0.01910889226604144,0.0003693468873551229
2,Standard 3D,4.614748430541219e-05,46.14748430541219,1.143283391666713,0.874673774926591,0.995215618440234,0.02166751369831116,0.00047487748492243864
3,Standard 3D,4.338805951880887e-05,43.38805951880887,1.1451067645551984,0.8732810170660696,0.9956698672926596,0.020421969553849256,0.0004218505972452235
4,Standard 3D,4.631572979213996e-05,46.31572979213996,1.1306416062028972,0.8844535655806628,0.9961011447613689,0.019793987216105133,0.0003963054003700844
5,Standard 3D,4.6316827219527756e-05,46.31682721952775,1.1602801279512998,0.8618608350775553,0.9962241960456356,0.01897101112443962,0.000364036036222504
6,Standard 3D,4.316470559424205e-05,43.16470559424205,1.1596392623678893,0.8623371357382995,0.9946098902140819,0.022493598039531805,0.0005117776073935008
7,Standard 3D,4.483809245859568e-05,44.838092458595675,1.1799979613195004,0.8474590912697658,0.9944666585002779,0.022480962084801874,0.0005112027787440269
8,Standard 3D,4.3639405356088715e-05,43.639405356088716,1.197165692817029,0.8353062621155791,0.9946883733854947,0.021640928137904504,0.0004737128714822452
9,Standard 3D,4.461238413075276e-05,44.61238413075276,1.2456580274891451,0.8027885486482077,0.9956450470467265,0.018895848067634148,0.0003611571325191949
10,Standard 3D,4.5430975204529906e-05,45.43097520452991,1.2314550779022895,0.8120474858924132,0.9955630128890233,0.019335450163703274,0.00037815687019435244
11,Standard 3D,4.468088436074946e-05,44.68088436074946,1.2590977068770401,0.7942195387523306,0.9952139768065168,0.01961481867732709,0.00038916342337366587
12,Standard 3D,4.491160200937014e-05,44.91160200937014,1.2780452788608945,0.7824448918517873,0.9952222147284268,0.0192640674181455,0.00037536986008270397
13,Standard 3D,4.586961831056395e-05,45.86961831056395,1.328696074829732,0.7526175616407587,0.9965688304397968,0.015793604897975093,0.0002523050586121168
14,Standard 3D,4.523793905407074e-05,45.237939054070736,1.3324919058769342,0.7504736018204058,0.9966723213780051,0.015485803630499197,0.00024256655217528309
15,Standard 3D,4.6022654750972774e-05,46.02265475097278,1.3335221829544945,0.7498937871317918,0.9966670355966697,0.015491693342653776,0.00024275109782538452
16,Standard 3D,4.4667239891578943e-05,44.667239891578944,1.3354941117429147,0.7487865286765877,0.9965451187935074,0.015696606329906146,0.00024921544395738356
17,Standard 3D,4.316627243143934e-05,43.16627243143934,1.3591557321360634,0.7357508608880231,0.9953011233330448,0.017942089095524805,0.00032561877445786216
18,Standard 3D,4.584374437434626e-05,45.843744374346265,1.4004136246657706,0.7140747436234526,0.9959478930288451,0.01626427834045183,0.0002675672872912732
19,Standard 3D,4.440548795651195e-05,44.40548795651195,1.4009951471606925,0.7137783467891635,0.994955946687311,0.018077263201002832,0.00033054362236520856
20,Standard 3D,4.577031462245877e-05,45.77031462245877,1.423000184349272,0.7027405976460173,0.9960854176044881,0.015720969563695786,0.00024998967579302456
