Parameter,Value
Number of repetitions,20
tauD_mean_us,44.985713640099284
tauD_median_us,45.07477053172044
tauD_sd_us,1.0295470432179652
tauD_sem_us,0.2302137174669284
tauD_cv_percent,2.2886088936027225
tauD_CI95,"44.5344947538641 , 45.436932526334466"
N_mean,1.2594019642458671
N_sd,0.0988929249135663
N_sem,0.022113130260051676
N_cv_percent,7.852371817824153
N_CI95,"1.216060228936166 , 1.3027436995555683"
Mean_R2,0.9956811584507615
